graceid,ifos,end_time,end_time_ns,mass,mchirp,minimum_duration,snr,far,ifar,log_ifar
G344712,"H1,L1",1247689745.0,202148438.0,3.98419713974,1.7285482883453,193.00620976474,8.7164249420166,0.0002572505618445,3887.260703454696,8.26545999921145
G344676,"H1,L1",1247640683.0,588867188.0,3.7222065925598,1.5505760908127,232.39080227088,7.3774919509888,0.0002651989343576,3770.7542167252473,8.235030317920028
G209903,L1H1,1134777783.0,166015625.0,13.198288917542,4.2540130615234,7.8987923917218,15.043300628662,1.8886985344579e-05,52946.51220169571,10.87703747920369
G209867,L1H1,1134777155.0,680664062.0,4.0898613929748,1.6352379322052,35.286099914534,11.77739906311,1.8655455278349e-05,53603.62344844899,10.889371946424172
G369818,"H1,L1",1269349068.0,534667969.0,13.262935638428,3.4498479366302,63.14355942179,7.5464954294843,0.0001026310783345,9743.637270773488,9.184369763350936
G200714,L1H1,1131602039.0,166992188.0,3.9493279457092,1.4604407548904,68.705981929025,6.2594604492188,8.8727065303829e-05,11270.518151092789,9.329945582116506
G356135,"H1,L1",1259209135.0,360839844.0,3.5296576023102,1.5072418451309,241.57489644517,9.4151237755562,0.0001275538961635,7839.82324395237,8.966971567676064
G335977,"H1,L1",1244336921.0,693359375.0,23.298334121704,9.6937379837036,11.285594036406,7.5407280921936,0.0002054570504697,4867.197293613811,8.490273546019004
G354000,"H1,L1",1256992726.0,750488281.0,8.7896108627319,3.8229370117188,55.446305633689,6.7990427017212,0.0002611598465591,3829.072551447658,8.25037789918174
G348935,"H1,L1",1251448165.0,391113281.0,13.451216697693,5.5670394897461,31.37300724968,8.337007522583,0.0002641047176439,3786.376892169777,8.239164875723684
G351030,"H1,L1",1252975546.0,69335938.0,30.994985580444,4.8807039260864,31.32070141908,8.1058893203735,4.4546777644427e-05,22448.31282706942,10.018970737877243
G91355,"H1,L1",1076983853.0,5477369.0,2.7887786626816,1.148447394371,27.994522631,9.1008272404804,0.0008135194717629,1229.2268774255442,7.1141406958044096
G356299,"H1,L1",1259373341.0,547851562.0,3.7123289108276,1.505267739296,241.58347201996,6.6525000470324,0.0002054789947578,4866.677497514374,8.490166744542494
G351154,"H1,V1",1253109339.0,491699219.0,14.747158050537,5.2164850234985,31.656646449906,6.8485269546509,0.0001714605750748,5832.244523635962,8.671157200730661
G355092,"H1,L1",1258310561.0,399414063.0,3.7368941307068,1.5930956602097,222.03279880965,6.3103804588318,9.3469134299085e-05,10698.718967484749,9.27787929061769
G337792,"L1,V1",1246378115.0,867187500.0,4.6153702735901,1.6709027290344,222.64079683234,7.0324621200562,0.0002898288657888,3450.3119531524853,8.146219927141274
G347552,"H1,L1",1250171712.0,348632812.0,4.8745427131653,2.1185131072998,151.83867041952,8.5306930541992,0.0002264079084852,4416.806845177228,8.393172280773294
G346708,"H1,L1",1249390235.0,88378906.0,101.64682006836,10.478419303894,12.132911387618,8.5495681762695,4.1318191506434e-05,24202.414567062588,10.094207682665989
G365710,"H1,V1",1266810835.0,109375000.0,84.755386352539,12.421704292297,6.3489057659859,6.5473910386429,0.0001184424909297,8442.915985220196,9.041083023799215
G350345,"L1,V1",1252449867.0,252929687.0,23.073169708252,6.3347358703613,22.550383325824,6.8244676589966,5.877537842025e-05,17013.92703675844,9.741787525102891
G335858,"H1,L1",1244206053.0,562500000.0,18.542602539062,3.440819978714,60.579002134038,7.1866307258606,0.0002524073934182,3961.849082379916,8.2844661352609
G337285,"H1,L1",1245791672.0,125000000.0,9.7407140731812,3.9149701595306,53.857423731679,7.8981289863586,0.000182815361768,5469.999842075555,8.607033866545013
G348296,"H1,L1",1250902559.0,444335937.0,42.421245574951,4.6783170700073,32.523421341375,6.1058712005615,0.000204410374863,4892.119593586568,8.495380943275737
G333343,"H1,L1,V1",1242264832.0,245117188.0,3.1534690856934,1.3060065507889,306.51433975743,8.3285512924194,0.0001895184977911,5276.529793424471,8.571023924532135
G351443,"H1,L1",1253330239.0,651855469.0,3.8764264583588,1.6662591695786,203.82018301284,6.0882267951965,0.0002081706479657,4803.751200143147,8.47715239171366
G350619,"H1,L1",1252720446.0,750000000.0,16.908866882324,7.3534631729126,18.079342450164,7.3552622795105,7.4133400630672e-05,13489.196387765049,9.509644376468527
G333227,"H1,V1",1242189790.0,849121094.0,7.4833354949951,3.1918225288391,75.98066344616,6.1782951354981,7.9202975030057e-05,12625.788357325046,9.443496696338563
G346330,"H1,L1",1249013277.0,81054687.0,9.4292325973511,3.8086323738098,57.362508224802,8.632209777832,5.6427754316246e-05,17721.77560700997,9.782549422694895
G346254,"H1,L1",1248940192.0,181152344.0,13.718243598938,5.1977944374084,33.64992392109,7.2437448501587,0.0001511380687588,6616.466706315815,8.797316776282635
G351874,"H1,L1,V1",1253755327.0,497558593.0,99.153030395508,18.355659484863,1.4774979457249,10.091265678406,0.000202154245926,4946.7177670149495,8.506479558258992
G350652,"H1,L1",1252755154.0,862792969.0,21.036516189575,9.0147047042847,14.126997200505,7.6402359008789,6.042159293429e-05,16550.37464979656,9.714164017998929
G333308,"H1,L1",1242242367.0,956542969.0,3.3156650066376,1.3714781999588,284.17221117834,13.514075279236,2.7610067263595e-05,36218.67308228331,10.497330095821086
G357887,"H1,L1",1260854677.0,845214844.0,8.5244722366333,3.6529011726379,59.771630691662,7.5008115770402,5.1262839406263e-05,19507.30805359614,9.87854444632165
G354844,"H1,L1",1258015566.0,6347656.0,82.785499572754,9.7161092758179,12.766342553352,6.9380464553833,5.6626436162333e-06,176595.96255241366,12.081619704786542
G336338,"H1,L1",1244658049.0,223144531.0,100.13777923584,9.5879526138306,14.033105149949,8.2656393051147,1.3431248589768e-05,74453.24187967197,11.217926581551929
G356815,"H1,L1",1259821237.0,575195312.0,19.042854309082,7.8395328521729,15.911075401023,6.263203035622,0.0002851312747225,3507.1564877376773,8.162560870683782
G360353,"H1,L1",1263087472.0,58105468.0,4.4469690322876,1.7572033405304,205.35834668782,8.6942472647362,0.0002349621499888,4256.004637544438,8.356086120669486
G365363,"H1,L1",1266605378.0,510742188.0,3.3183860778809,1.3702200651169,284.73250247634,6.7782063389869,0.0002160513831768,4628.528571749914,8.439994293492408
G367332,"H1,L1",1267803363.0,253906250.0,49.561599731445,9.0874118804932,11.853858988796,7.9683152689178,1.1844867003674e-05,84424.75543961982,11.343615948472786
G361084,"H1,L1",1263833865.0,90332031.0,11.078007698059,4.3300595283508,45.576718578985,8.526946771161,0.0001582968106959,6317.246668481999,8.751038738495048
G338313,"H1,L1",1246838359.0,174316406.0,6.4240040779114,2.3914341926575,122.69375658382,6.0179796218872,0.0001908107369672,5240.795229314774,8.564228527120116
G362123,"H1,L1",1264747331.0,34179687.0,16.269306182861,5.2257266044617,31.370451252114,8.0656712766423,0.0002870317839551,3483.934727438355,8.155917602848085
G345199,"H1,L1",1248246504.0,792480469.0,3.9621376991272,1.5230506658554,237.7216265222,9.2180089950562,6.0236321587581e-05,16601.279321912833,9.71723503896019
G356648,"H1,L1",1259627674.0,434570313.0,9.4194574356079,4.0206251144409,50.603666921721,6.3214554347807,0.0001774747215677,5634.605261901937,8.63668237289364
G351585,"H1,L1",1253449046.0,547363281.0,76.192970275879,15.633658409119,4.4964852193748,6.8846487998962,0.0002675103605724,3738.172973412818,8.22635226126613
G332217,"H1,L1",1241743809.0,605468750.0,3.9355199337006,1.6702047586441,206.149892796,8.2812166213989,0.0001721237495075,5809.773508076548,8.66729686596674
G334380,"L1,V1",1243047548.0,610839844.0,7.5495820045471,2.2738099098206,136.14033894175,7.2424025535583,0.0002895952202379,3453.095666352044,8.14702640229206
